District,Code,State,Trump2016,Clinton2016,Obama2012,Romney2012,Obama2008,McCain2008,raw16PVI,raw12PVI,raw08PVI,raw16PVIuse,raw12PVIuse,raw08PVIuse,Trump2016vote,Clinton2016vote
Georgia 3rd,GA-03,Georgia,64.3303993715229,32.7561605181729,32.9979561183647,65.853787346444,34.2106875634017,65.7893124365983,-17.4,-18.6,-19.5,17.4,18.6,19.5,200624,102155
Georgia 4th,GA-04,Georgia,22.2434650425396,75.3046075342443,73.5853930945842,25.57853441401,73.5810597402259,26.4189402597741,26.1,22.2,19.9,-26.1,-22.2,-19.9,66433,224907
Georgia 5th,GA-05,Georgia,11.9000896145267,84.9719055188158,83.0754361477681,15.8035401257483,84.8844431791713,15.1155568208287,36.6,32.1,31.2,-36.6,-32.1,-31.2,36385,259805
Georgia 6th,GA-06,Georgia,48.3091116571974,46.8162634416717,37.4530633906919,60.8300895765408,40.4513533554559,59.5486466445441,-1.9,-13.9,-13.2,1.9,13.9,13.2,160022,155077
Georgia 7th,GA-07,Georgia,51.1387521527467,44.7540783531996,38.3196549026856,60.230846088272,39.4333432746794,60.5666567253206,-4.4,-13.1,-14.3,4.4,13.1,14.3,150845,132012
Georgia 8th,GA-08,Georgia,63.3461889015268,34.4087317429589,37.477774062327,61.6281287659931,38.0454548913085,61.9545451086915,-15.9,-14.1,-15.6,15.9,14.1,15.6,168193,91360
Georgia 9th,GA-09,Georgia,77.7867873424962,19.3354978719109,20.4811927022545,78.1386799171214,24.5368447129219,75.4631552870781,-31.2,-31.2,-29.2,31.2,31.2,29.2,231194,57468
Georgia 10th,GA-10,Georgia,61.2651671200008,35.7666318599182,36.3027324609073,62.4586478760142,39.1012770889823,60.8987229110177,-14.3,-15.2,-14.6,14.3,15.2,14.6,193030,112691
Georgia 11th,GA-11,Georgia,60.3167331583818,35.3312197563824,31.4533601912278,66.9430023767771,35.0260176906657,64.9739823093343,-14.2,-20,-18.7,14.2,20,18.7,198813,116457
Georgia 12th,GA-12,Georgia,56.8617049097036,40.6976396661611,43.6423297827042,55.4220500553506,44.1217851739788,55.8782148260212,-9.4,-7.9,-9.6,9.4,7.9,9.6,152204,108937
